fold_id,held_out_episode_id,attack_type,train_count,test_count,minimum_retained_train_to_test_distance_minutes,purge_violations
0,02-03-2018_Botnet_0,Botnet,2767,20,1.0,20
1,02-03-2018_Botnet_1,Botnet,2763,24,1.0,24
2,02-03-2018_Botnet_2,Botnet,2775,12,1.0,12
3,02-03-2018_Botnet_3,Botnet,2781,6,1.0,6
4,02-03-2018_Botnet_4,Botnet,2781,6,1.0,6
5,02-03-2018_Botnet_5,Botnet,2778,9,1.0,9
6,02-03-2018_Botnet_6,Botnet,2778,9,1.0,9
7,02-03-2018_Botnet_7,Botnet,2779,8,1.0,8
8,02-03-2018_Botnet_8,Botnet,2773,14,1.0,14
9,02-03-2018_Botnet_9,Botnet,2777,10,1.0,10
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,2775,12,1.0,12
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,2778,9,1.0,9
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,2767,20,1.0,20
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,2781,6,1.0,6
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,2771,16,1.0,16
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,2763,24,1.0,24
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,2721,66,1.0,66
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,2775,12,1.0,12
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,2773,14,1.0,14
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,2775,12,1.0,12
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,2781,6,1.0,6
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,2781,6,1.0,6
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,2781,6,1.0,6
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,2781,6,1.0,6
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,2781,6,1.0,6
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,2781,6,1.0,6
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,2781,6,1.0,6
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,2781,6,1.0,6
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,2781,6,1.0,6
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,2781,6,1.0,6
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,2780,7,1.0,7
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,2781,6,1.0,6
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,2781,6,1.0,6
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,2781,6,1.0,6
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,2781,6,1.0,6
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,2781,6,1.0,6
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,2781,6,1.0,6
