fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,temperature
0,02-03-2018_Botnet_0,Botnet,label_binary,2120,538,20,0.9523809523809523,0.9999999999999999,0.9090909090909091,1.0,0.1,1.0,1.7128952998264653
1,02-03-2018_Botnet_1,Botnet,label_binary,2124,539,24,0.96,1.0,0.9230769230769231,1.0,0.08333333333333333,1.0,1.6277956128059177
2,02-03-2018_Botnet_2,Botnet,label_binary,2109,535,12,1.0,1.0,1.0,1.0,0.0,1.0,9.99999407493312
3,02-03-2018_Botnet_3,Botnet,label_binary,2108,535,6,1.0,1.0,1.0,1.0,0.0,1.0,9.999994072252358
4,02-03-2018_Botnet_4,Botnet,label_binary,2105,534,6,1.0,1.0,1.0,1.0,0.0,1.0,9.999994114844917
5,02-03-2018_Botnet_5,Botnet,label_binary,2091,530,9,1.0,1.0,1.0,1.0,0.0,1.0,4.139310693887077
6,02-03-2018_Botnet_6,Botnet,label_binary,2087,529,9,1.0,1.0,1.0,1.0,0.0,1.0,4.163450505734182
7,02-03-2018_Botnet_7,Botnet,label_binary,2083,529,8,1.0,1.0,1.0,1.0,0.0,1.0,3.9805357192801365
8,02-03-2018_Botnet_8,Botnet,label_binary,2077,527,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,3.032649117053194
9,02-03-2018_Botnet_9,Botnet,label_binary,2080,528,10,1.0,1.0,1.0,1.0,0.0,1.0,9.999995725067249
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,label_binary,2148,541,12,1.0,1.0,1.0,1.0,0.0,1.0,9.999994205464109
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,label_binary,2144,540,9,1.0,1.0,1.0,1.0,0.0,1.0,7.4084506298658805
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,label_binary,2136,537,20,1.0,0.9999999999999999,1.0,1.0,0.0,1.0,4.218389350466196
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,label_binary,2133,538,6,1.0,1.0,1.0,1.0,0.0,1.0,4.234816779403227
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,label_binary,2127,535,16,1.0,1.0,1.0,1.0,0.0,1.0,4.247981933017444
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,label_binary,2117,532,24,1.0,1.0,1.0,1.0,0.0,1.0,9.999993719912228
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,label_binary,2049,518,66,0.9850746268656716,1.0,0.9705882352941176,1.0,0.030303030303030304,1.0,2.8305796630002567
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,label_binary,2127,540,12,1.0,1.0,1.0,1.0,0.0,1.0,3.9144540315501155
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,label_binary,2132,541,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,5.096878196393862
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,label_binary,2135,541,12,1.0,1.0,1.0,1.0,0.0,1.0,2.4550066127434773
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.556536522958946
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4919955279328954
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4509937301435882
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.3795814148258785
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4991736714502735
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4975311922339287
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.435365161706688
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.3845394426747966
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.505006359885446
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.5102307126460293
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,label_binary,2135,542,7,1.0,1.0,1.0,1.0,0.0,1.0,2.470236287233904
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.380312658358108
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.48907622782861
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4032220569946725
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4630077477467087
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.4165616738222564
